"Germplasm","Rep","Plot","Row","Range","GNDVI_133","GNDVI_159","GNDVI_164","GNDVI_168","GNDVI_171","GNDVI_175","GNDVI_178","GNDVI_181","GNDVI_187","GNDVI_189","GNDVI_192","GNDVI_194","GNDVI_196","GNDVI_207","GNDVI_223","GNDVI_231","GNDVI_236","GNDVI_238","GNDVI_243","GNDVI_245","GNDVI_252","GNDVI_258","GNDVI_259"
"SW5210",2,2112030,2,3,0.389798975915039,0.232920459478317,0.230192993983432,0.0851820112201743,0.120437760196997,0.236417675100184,0.185874426993134,0.24152165251305,0.304304964318454,0.281193600945551,0.228501552274032,0.0932269594412578,0.146064552186347,0.18912034976199,0.286934121431691,0.300516309600901,0.271998632198254,0.314916436421686,0.275158112994901,0.274776096686878,0.242134931282664,0.240173170682365,0.146771735798225
"SW3407",2,2112040,2,4,0.385824724632458,0.229767448785551,0.23218499043052,0.0984563420252492,0.136096492161413,0.251388441894215,0.18487132109652,0.24435454488266,0.306733406315988,0.271232618469354,0.20714258134041,0.108833757402202,0.158681983982096,0.198128072521688,0.281065904119392,0.287379536208897,0.263521760340647,0.299860647431562,0.252004994544464,0.258033750780353,0.214556702512896,0.232605182233421,0.120783294898228
"LIGHTNING_BOLT",2,2112050,2,5,0.366331619076142,0.185555256532026,0.2157569495263,0.0977068995730761,0.131627547876848,0.224947862515622,0.150008192943349,0.213608751298338,0.284261393375912,0.256974451560604,0.223860084943977,0.0895134590859196,0.145820355344192,0.189716037610799,0.26464412860204,0.267448822437739,0.25291144963045,0.284643385909104,0.235651639442043,0.238766551377719,0.20634811402142,0.229947330486133,0.107283857915248
"N-R-GEE",2,2112060,2,6,0.355694536033914,0.188158388182641,0.239941658941366,0.0940617974916994,0.119192147288128,0.204496893112631,0.132673124316813,0.199386603790503,0.27802222212522,0.250531264681201,0.250394442227533,0.0796095602764928,0.131045882693668,0.166125183289727,0.247035309381763,0.256320310529313,0.242601876809349,0.285986934929394,0.224726787366729,0.254500827074023,0.20840790181744,0.235573999803858,0.0812639168545209
"SW5210",2,2112070,2,7,0.384466740203293,0.215680936198099,0.243657731986632,0.0993825054600288,0.139673523110058,0.234932213608789,0.159003271204521,0.219242102487616,0.306385055376406,0.266750352311452,0.262446523570924,0.0653457700393038,0.160911565584812,0.212756262045864,0.262115265695774,0.276884343346418,0.268253307280823,0.299978186465853,0.246370923459805,0.269075423296996,0.230135659184331,0.250850949135062,0.115104829354782
"NY2003",2,2112080,2,8,0.350141083500909,0.195499545004437,0.230886998289282,0.0770784537230973,0.0946053665132825,0.126115881263797,0.0922185904082119,0.153458454591749,0.280257388208165,0.224082402505381,0.236850714592667,0.0553566908919984,0.116789506729303,0.193135037739644,0.24357931177658,0.258125079333161,0.260432131273655,0.286825947547618,0.235547777458693,0.25451609730816,0.221738816697868,0.246726918272669,0.0959181803882526
"LIGHTNING_BOLT",2,2112090,2,9,0.368215162889847,0.186489228544199,0.212305427120754,0.0906974800390055,0.140506422489051,0.213188728316354,0.148355212934508,0.206164228094444,0.287626622633116,0.246701301428738,0.27150961802873,0.0448971619680992,0.113681966652926,0.183976406256289,0.244861950007212,0.26254865119709,0.235627352886204,0.276360606169345,0.213426876615132,0.247223302530498,0.190537041157812,0.22514032845448,0.0842005198803503
"SW3407",2,2112100,2,10,0.398174653678651,0.20216404441143,0.216702168172186,0.0975805931834134,0.162292480895365,0.244187744651323,0.176649334248498,0.237343612793673,0.30780421576822,0.252604276523098,0.253277635988726,0.0595652030146332,0.122063227220384,0.189697092546583,0.250177892355572,0.269827091067486,0.260078517966502,0.288104707178541,0.231436241962592,0.258310180256002,0.198863829284375,0.2208036958157,0.0856835194206633
"N-R-GEE",2,2112110,2,11,0.361985631787727,0.197265592141439,0.21457808770571,0.0846556823557639,0.146621389912858,0.203580610556063,0.13452577974804,0.206649804907165,0.276763515399646,0.226892555852788,0.283566060951854,0.0645316876992156,0.117533913144255,0.17282385191577,0.212599296955443,0.247043704690961,0.247921524146395,0.273636024813696,0.221602649896952,0.25762132677721,0.196783469045422,0.229884688771953,0.080965100494811
"ALGONQUIN",2,2112120,2,12,0.327487629434269,0.183164641932733,0.205126892811148,0.0736991357735099,0.127231657397434,0.145579093214996,0.094264122787416,0.186136473354225,0.267514493446177,0.205807835228117,0.256971326366023,0.0808725098894587,0.172146500981033,0.207812961340439,0.194052803627694,0.241598743566266,0.231541258990108,0.251455169025177,0.204498376080953,0.255694235176605,0.183519715076583,0.199737169829858,0.0470781724410256
